id;avg;std;item_count;sec_count;max_unitario;min;total;max
24449216;25.779999999999998;18.48501555314466;3;1;216.9565217391304;4.49;77.33999999999999;49.9
26118121;8.631547619047618;8.40611165052343;84;9;228.4482758620689;0.3416666666666666;725.05;46.98
20559124;10.33;8.845550670629086;6;2;25.95;2.29;61.980000000000004;25.95
28879323;10324;16.97562146137808;10;5;308.13953488372096;1.19;103.24;53.0
28879523;4.923333333333334;1.1440668201153674;3;2;6.29;3.49;14.770000000000001;6.29
74160013;2.54;1.4517231140957976;4;2;4.99;238;10.16;4.99
24452516;7878;7.559704756139619;5;1;241.05263157894728;2.5;39.39;22.9
74171913;3.5275;0.8686303874491154;4;2;4.99;1.39;14.11;4.99
74174113;14.99888888888889;16.185804098684365;9;5;782.2058823529411;2.79;134.99;53.19
65032815;5.765000000000001;4.6604044292791205;18;5;126.1904761904762;0.59;103.77000000000001;20.89
34102118;15.13;14.111572083459258;3;1;34.99;3.5;45.39;34.99
32931822;15345;11155;2;2;301.1363636363636;11.47945205479452;30.69;26.5
65027815;12.524285714285714;6.9931044754158815;7;4;174.34210526315792;2.79;87.67;26.5
24453616;18945;13955;2;1;126.53846153846152;4.99;37.89;32.9
34097718;18945;13955;2;1;42.17948717948717;2495;37.89;32.9
44369426;4.89;0.0;1;1;4.89;4.89;4.89;4.89
21793829;12.795000000000002;6.305000000000001;2;2;9.55;6.49;25.590000000000003;19.1
37239420;3.59;0.0;1;1;3.59;3.59;3.59;3.59
74178013;3.2566666666666664;1.5173075568988055;3;3;11.090534979423866;1.99;9.77;5.39
44365626;2.65;0.8671793355471521;6;1;3.89;1.39;15.9;3.89
44372826;5.99;0.0;1;1;5.99;5.99;5.99;5.99
34099318;26.2;23.7;2;1;191.9230769230769;2.5;52.4;49.9
74160213;11.1;6.0629118416813546;4;4;17.755632582322356;3.09;44.4;20.49
24451816;17695;15.204999999999998;2;2;37.6;2.49;35.39;32.9
20553424;9155;8.419504484780013;26;7;90.65934065934064;1.59;238.03;26.89
65033215;5.359999999999999;5.769820621128529;40;9;72.40437158469945;1.05;214.39999999999998;26.5
74175513;0.79;0.0;1;1;0.021944444444444447;0.021944444444444447;0.79;0.79
74175713;5.44;1.55;2;2;10.59090909090909;3.89;10.88;6.99
44376526;2.13;1.1833849753989614;6;2;1.69;145;12.78;4.7700000000000005
37243720;11.123333333333333;6.437384734674651;18;6;129.90196078431373;1.29;200.22;26.5
26122121;9.07;7.965649691017049;8;4;51.245487364620935;2.39;72.56;28.39
74160413;3.99;0.0;1;1;3.99;3.99;3.99;3.99
74161513;13.59;10.7;2;2;24.29;0.4816666666666667;27.18;24.29
26121221;5.86618181818182;8.841308724784026;55;8;439.7058823529412;0.14166666666666666;322.6400000000001;59.8
20555924;12.33;10.582984928648438;20;5;66.91919191919192;1.59;246.6;46.18
32923422;5.1242857142857146;2.7230857346707515;7;3;54.5;1.6789473684210527;35.870000000000005;10.9
32923622;4.113636363636363;3.397074336776688;11;3;6.35;0.2483333333333333;45.25;13.169999999999998
26131921;7.0200000000000005;6.39582124607659;17;6;86.09022556390975;0.99;119.34;22.9
21795729;2.39;0.0;1;1;0.1991666666666667;0.1991666666666667;2.39;2.39
24454616;21.429999999999996;13.491792566841022;3;2;180625;2.49;64.28999999999999;32.9
32932822;4.876666666666666;4.4723247745315735;3;3;11.19;1.39;14.629999999999999;11.19
32938622;14.93;10.148717488760177;3;2;25.383141762452105;1.79;44.79;26.5
44380326;4.5;0.0;2;1;4.5;4.5;9.0;4.5
32934822;5.1911538461538465;5.3457915344855635;26;7;199.86666666666667;1.49;134.97;29.98
32935022;11.76375;8.655658463542794;8;5;133.98550724637678;1.95;94.11;28.35
65034415;7.695333333333332;6.47588538777174;15;5;76.71052631578947;0.69;115.42999999999998;25.99
21796029;5.7065714285714275;3.291352256059717;35;7;14.29;0.99;199.72999999999996;14.29
26118721;2695;805;2;2;1.89;1.75;5.39;3.5
74160613;2.1566666666666667;0.873053390247253;3;2;3.39;0.16555555555555554;6.47;3.39
74180713;8955;2965;2;2;11.92;5.624413145539907;17.91;11.92
34108418;8.7225;9.36925924233074;4;2;199.2;2.49;34.89;24.9
32918822;11.334999999999999;18.920190273884668;8;4;272.54545454545456;0.99;90.67999999999999;59.96
32919522;4.64;0.7499999999999998;2;2;18.45890410958904;3.89;9.28;5.39
44365326;3.6166666666666667;2.0464657881875823;3;2;3.19;1.49;10.85;6.38
74159813;17275;11025;2;2;14.15;1.3873473917869037;34.55;28.3
34108118;14.7;10.2;2;1;199.2;4.5;29.4;24.9
74164913;14.030000000000001;4.65836881322207;6;2;41.82819383259911;3.79;84.18;18.99
26127621;8.31;6.641435201706145;13;6;74.42528735632185;1.59;108.03;25.9
32944622;6.088333333333334;3.733900626541752;6;4;13.15;1.59;36.53;13.15
20567824;5.4194736842105256;4.013647079762547;19;4;98.24175824175823;1.09;102.96999999999998;17.88
32930322;7.12;1.13;2;2;21.484375;5.99;14.24;8.25
74164313;21.5;5.0;2;1;86.60130718954248;50.613496932515325;43.0;26.5
